"ID","Status","Comment","Assertion"
"td-ns-multilanguage-content-negotiation-optional","null","not testable with Assertion Tester",
"td-processor-serialization","null","not testable with Assertion Tester",
"td-security-no-extras","null","not testable with Assertion Tester",
"td-security-no-secrets","null","not testable with Assertion Tester",
"td-vocabulary-defaults","null","not testable with Assertion Tester",
"privacy-auth-users-only","null","not testable with Assertion Tester",
"privacy-centralized-ids","null","not testable with Assertion Tester",
"privacy-essential-metadata-only","null","not testable with Assertion Tester",
"privacy-immutable-id-as-property","null","not testable with Assertion Tester",
"privacy-mutable-identifiers","null","not testable with Assertion Tester",
"privacy-temp-id-metadata","null","not testable with Assertion Tester",
"sec-body-name-json-pointer-type","null","not testable with Assertion Tester",
"sec-inj-no-intl-markup","null","not testable with Assertion Tester",
"security-context-secure-fetch","null","not testable with Assertion Tester",
"security-jsonld-expansion","null","not testable with Assertion Tester",
"security-mutual-auth-td","null","not testable with Assertion Tester",
"security-no-execution","null","not testable with Assertion Tester",
"security-oauth-limits","null","not testable with Assertion Tester",
"security-remote-context","null","not testable with Assertion Tester",
"security-server-auth-td","null","not testable with Assertion Tester",
"security-static-context","null","not testable with Assertion Tester",
"td-context-ns-td10-namespacev10","null","not testable with Assertion Tester",
"td-default-AdditionalResponseContentType","null","not testable with Assertion Tester",
"td-default-observable","null","not testable with Assertion Tester",
"td-processor-bidi-isolation","null","not testable with Assertion Tester",
"td-producer-mixed-direction","null","not testable with Assertion Tester",
"td-security-extension","null","not testable with Assertion Tester",
"td-text-direction-first-strong","null","not testable with Assertion Tester",
"td-text-direction-language-tag","null","not testable with Assertion Tester",
